day,min,max,dtr
236,15.9,29.4,13.5
237,23.1,30.5,7.4
238,21.3,29.6,8.3
239,14.2,26.2,12
240,9.2,21,11.8
241,1.3,14.3,13
242,5.7,20.2,14.5
243,11.6,24.3,12.7
244,17.3,29,11.7
245,22.9,32.8,9.9
246,23.2,33.4,10.2
247,14.7,25.9,11.2
248,5.4,18.4,13
249,-0.5,13,13.5
250,4.5,18.2,13.7
251,10,26.5,16.5
252,16.1,27.7,11.6
253,20.9,29.9,9
254,21.7,31.1,9.4
255,16.6,26.3,9.7
256,8.8,20.5,11.7
257,-0.2,14.2,14.4
258,2.7,17.7,15
259,11.9,24,12.1
260,18.3,29.2,10.9
261,19.6,27.3,7.7
262,22.9,30.4,7.5
263,15.3,24.9,9.6
264,5.6,19.3,13.7
265,1.8,14.9,13.1
266,6.3,19.7,13.4
267,10.3,22.2,11.9
268,17.3,27.6,10.3
269,21.9,31.7,9.8
270,20.9,28.8,7.9
271,16.3,26,9.7
272,9,20.3,11.3
273,0.4,13.2,12.8
274,5.9,21.1,15.2
275,10.1,25.3,15.2
276,17.7,28.3,10.6
277,22.3,30.5,8.2
278,21.6,28.8,7.2
279,15.5,26.7,11.2
280,6.8,19.5,12.7
281,0.8,17,16.2
282,5.9,19.7,13.8
283,11.4,24.9,13.5
284,17.7,28.4,10.7
285,22.4,30.4,8
286,22.6,31.4,8.8
287,18.4,27.3,8.9
288,7.3,20.1,12.8
"			",,,
